will_1,will_2,relative_prob,will_combo
Foreshadow,Move,0.59125,Foreshadow + Move
Move,Transfuse,0.08254,Move + Transfuse
Move,Plunder,0.08043,Move + Plunder
Foreshadow,Transfuse,0.06442,Foreshadow + Transfuse
Foreshadow,Plunder,0.06262000000000001,Foreshadow + Plunder
Enrich,Move,0.022010000000000002,Enrich + Move
Enrich,Foreshadow,0.01748,Enrich + Foreshadow
Exchange,Move,0.01577,Exchange + Move
Move,Reform,0.01368,Move + Reform
Exchange,Foreshadow,0.011859999999999999,Exchange + Foreshadow
Foreshadow,Reform,0.01089,Foreshadow + Reform
Plunder,Transfuse,0.00801,Plunder + Transfuse
Alternate Trust,Move,0.00401,Alternate Trust + Move
Alternate Trust,Foreshadow,0.00295,Alternate Trust + Foreshadow
Enrich,Transfuse,0.0025,Enrich + Transfuse
Enrich,Plunder,0.00206,Enrich + Plunder
Exchange,Transfuse,0.00171,Exchange + Transfuse
Reform,Transfuse,0.0014,Reform + Transfuse
Exchange,Plunder,0.00134,Exchange + Plunder
Plunder,Reform,0.0011400000000000002,Plunder + Reform
Enrich,Exchange,0.00042,Enrich + Exchange
Alternate Trust,Transfuse,0.00036,Alternate Trust + Transfuse
Alternate Trust,Plunder,0.00034,Alternate Trust + Plunder
Enrich,Reform,0.00031,Enrich + Reform
Exchange,Reform,0.00016999999999999999,Exchange + Reform
Alternate Trust,Reform,0.00011000000000000002,Alternate Trust + Reform
Alternate Trust,Enrich,0.00011000000000000002,Alternate Trust + Enrich
Alternate Trust,Exchange,0.00011000000000000002,Alternate Trust + Exchange
