will_1,will_2,relative_prob,will_combo
Reform,Transfuse,0.52692,Reform + Transfuse
Plunder,Reform,0.07709,Plunder + Reform
Plunder,Transfuse,0.0734,Plunder + Transfuse
Enrich,Reform,0.06210000000000001,Enrich + Reform
Enrich,Transfuse,0.057940000000000005,Enrich + Transfuse
Alternate Trust,Reform,0.029339999999999998,Alternate Trust + Reform
Exchange,Reform,0.02905,Exchange + Reform
Exchange,Transfuse,0.02733,Exchange + Transfuse
Alternate Trust,Transfuse,0.025719999999999996,Alternate Trust + Transfuse
Move,Reform,0.02564,Move + Reform
Move,Transfuse,0.023710000000000002,Move + Transfuse
Enrich,Plunder,0.008350000000000002,Enrich + Plunder
Foreshadow,Reform,0.00466,Foreshadow + Reform
Foreshadow,Transfuse,0.00434,Foreshadow + Transfuse
Alternate Trust,Plunder,0.00359,Alternate Trust + Plunder
Exchange,Plunder,0.00352,Exchange + Plunder
Move,Plunder,0.00321,Move + Plunder
Alternate Trust,Enrich,0.0031499999999999996,Alternate Trust + Enrich
Enrich,Exchange,0.0028200000000000005,Enrich + Exchange
Enrich,Move,0.0026700000000000005,Enrich + Move
Alternate Trust,Exchange,0.00134,Alternate Trust + Exchange
Alternate Trust,Move,0.0012599999999999998,Alternate Trust + Move
Exchange,Move,0.0011,Exchange + Move
Foreshadow,Plunder,0.0006000000000000001,Foreshadow + Plunder
Enrich,Foreshadow,0.00054,Enrich + Foreshadow
Exchange,Foreshadow,0.00024,Exchange + Foreshadow
Alternate Trust,Foreshadow,0.00018999999999999998,Alternate Trust + Foreshadow
Foreshadow,Move,0.00018,Foreshadow + Move
