will_1,will_2,relative_prob,will_combo
Foreshadow,Move,0.60704,Foreshadow + Move
Alternate Trust,Move,0.07306,Alternate Trust + Move
Exchange,Move,0.06584999999999999,Exchange + Move
Alternate Trust,Foreshadow,0.06554,Alternate Trust + Foreshadow
Exchange,Foreshadow,0.05701,Exchange + Foreshadow
Move,Transfuse,0.01964,Move + Transfuse
Enrich,Move,0.01952,Enrich + Move
Foreshadow,Transfuse,0.01768,Foreshadow + Transfuse
Enrich,Foreshadow,0.01695,Enrich + Foreshadow
Move,Plunder,0.015870000000000002,Move + Plunder
Foreshadow,Plunder,0.013850000000000001,Foreshadow + Plunder
Alternate Trust,Exchange,0.00658,Alternate Trust + Exchange
Move,Reform,0.005110000000000001,Move + Reform
Foreshadow,Reform,0.00419,Foreshadow + Reform
Alternate Trust,Transfuse,0.0019399999999999999,Alternate Trust + Transfuse
Alternate Trust,Enrich,0.0018499999999999999,Alternate Trust + Enrich
Enrich,Exchange,0.0016799999999999999,Enrich + Exchange
Exchange,Transfuse,0.00165,Exchange + Transfuse
Exchange,Plunder,0.0013899999999999997,Exchange + Plunder
Alternate Trust,Plunder,0.00113,Alternate Trust + Plunder
Enrich,Transfuse,0.00047999999999999996,Enrich + Transfuse
Exchange,Reform,0.00045,Exchange + Reform
Enrich,Plunder,0.00042999999999999994,Enrich + Plunder
Alternate Trust,Reform,0.00041999999999999996,Alternate Trust + Reform
Plunder,Transfuse,0.00033,Plunder + Transfuse
Reform,Transfuse,0.00019,Reform + Transfuse
Enrich,Reform,8.999999999999999e-05,Enrich + Reform
Plunder,Reform,8e-05,Plunder + Reform
