will_1,will_2,relative_prob,will_combo
Foreshadow,Move,0.44279,Foreshadow + Move
Foreshadow,Plunder,0.10684,Foreshadow + Plunder
Move,Plunder,0.08634000000000001,Move + Plunder
Exchange,Foreshadow,0.06093,Exchange + Foreshadow
Exchange,Move,0.05196,Exchange + Move
Foreshadow,Reform,0.047,Foreshadow + Reform
Move,Reform,0.03676,Move + Reform
Foreshadow,Transfuse,0.0353,Foreshadow + Transfuse
Move,Transfuse,0.02883,Move + Transfuse
Enrich,Foreshadow,0.015189999999999999,Enrich + Foreshadow
Alternate Trust,Foreshadow,0.01333,Alternate Trust + Foreshadow
Exchange,Plunder,0.01167,Exchange + Plunder
Alternate Trust,Move,0.01141,Alternate Trust + Move
Enrich,Move,0.01139,Enrich + Move
Plunder,Reform,0.00845,Plunder + Reform
Plunder,Transfuse,0.0064800000000000005,Plunder + Transfuse
Exchange,Reform,0.00525,Exchange + Reform
Exchange,Transfuse,0.00404,Exchange + Transfuse
Enrich,Plunder,0.00287,Enrich + Plunder
Reform,Transfuse,0.00282,Reform + Transfuse
Alternate Trust,Plunder,0.00267,Alternate Trust + Plunder
Enrich,Exchange,0.0016699999999999998,Enrich + Exchange
Alternate Trust,Exchange,0.00164,Alternate Trust + Exchange
Alternate Trust,Reform,0.00116,Alternate Trust + Reform
Enrich,Reform,0.00112,Enrich + Reform
Alternate Trust,Transfuse,0.0009000000000000001,Alternate Trust + Transfuse
Enrich,Transfuse,0.00084,Enrich + Transfuse
Alternate Trust,Enrich,0.00035,Alternate Trust + Enrich
