will_1,will_2,relative_prob,will_combo
Foreshadow,Shadow Infuse,0.56768,Foreshadow + Shadow Infuse
Shadow Infuse,Shadow Revoke,0.07196,Shadow Infuse + Shadow Revoke
Foreshadow,Shadow Revoke,0.07092000000000001,Foreshadow + Shadow Revoke
Exchange,Foreshadow,0.059919999999999994,Exchange + Foreshadow
Exchange,Shadow Infuse,0.05858,Exchange + Shadow Infuse
Move,Shadow Infuse,0.03988,Move + Shadow Infuse
Foreshadow,Move,0.03872,Foreshadow + Move
Alternate Trust,Foreshadow,0.03432,Alternate Trust + Foreshadow
Alternate Trust,Shadow Infuse,0.033,Alternate Trust + Shadow Infuse
Exchange,Shadow Revoke,0.0064800000000000005,Exchange + Shadow Revoke
Move,Shadow Revoke,0.00522,Move + Shadow Revoke
Alternate Trust,Shadow Revoke,0.004,Alternate Trust + Shadow Revoke
Exchange,Move,0.00382,Exchange + Move
Alternate Trust,Exchange,0.00326,Alternate Trust + Exchange
Alternate Trust,Move,0.00224,Alternate Trust + Move
