will_1,will_2,relative_prob,will_combo
Move,Shadow Infuse,0.43261999999999995,Move + Shadow Infuse
Exchange,Move,0.23493999999999998,Exchange + Move
Exchange,Shadow Infuse,0.20815999999999998,Exchange + Shadow Infuse
Move,Reform,0.02572,Move + Reform
Reform,Shadow Infuse,0.022879999999999998,Reform + Shadow Infuse
Alternate Trust,Move,0.014760000000000002,Alternate Trust + Move
Alternate Trust,Shadow Infuse,0.01404,Alternate Trust + Shadow Infuse
Exchange,Reform,0.01194,Exchange + Reform
Move,Shadow Revoke,0.010119999999999999,Move + Shadow Revoke
Shadow Infuse,Shadow Revoke,0.00912,Shadow Infuse + Shadow Revoke
Alternate Trust,Exchange,0.006820000000000001,Alternate Trust + Exchange
Exchange,Shadow Revoke,0.00466,Exchange + Shadow Revoke
Item Move,Move,0.00124,Item Move + Move
Item Move,Shadow Infuse,0.0009400000000000001,Item Move + Shadow Infuse
Alternate Trust,Reform,0.00074,Alternate Trust + Reform
Exchange,Item Move,0.00054,Exchange + Item Move
Reform,Shadow Revoke,0.00046,Reform + Shadow Revoke
Alternate Trust,Shadow Revoke,0.00016,Alternate Trust + Shadow Revoke
Item Move,Reform,7.999999999999999e-05,Item Move + Reform
Item Move,Shadow Revoke,3.9999999999999996e-05,Item Move + Shadow Revoke
Alternate Trust,Item Move,2e-05,Alternate Trust + Item Move
