will_1,will_2,relative_prob,will_combo
Move,Shadow Infuse,0.68742,Move + Shadow Infuse
Move,Reform,0.07556,Move + Reform
Reform,Shadow Infuse,0.06844,Reform + Shadow Infuse
Foreshadow,Move,0.039380000000000005,Foreshadow + Move
Foreshadow,Shadow Infuse,0.03544,Foreshadow + Shadow Infuse
Alternate Trust,Move,0.0332,Alternate Trust + Move
Alternate Trust,Shadow Infuse,0.03136,Alternate Trust + Shadow Infuse
Exchange,Move,0.009680000000000001,Exchange + Move
Exchange,Shadow Infuse,0.0091,Exchange + Shadow Infuse
Alternate Trust,Reform,0.0034799999999999996,Alternate Trust + Reform
Foreshadow,Reform,0.0034,Foreshadow + Reform
Alternate Trust,Foreshadow,0.0015,Alternate Trust + Foreshadow
Exchange,Reform,0.001,Exchange + Reform
Exchange,Foreshadow,0.0007000000000000001,Exchange + Foreshadow
Alternate Trust,Exchange,0.00033999999999999997,Alternate Trust + Exchange
