will_1,will_2,relative_prob,will_combo
Foreshadow,Shadow Infuse,0.6627200000000001,Foreshadow + Shadow Infuse
Move,Shadow Infuse,0.0872,Move + Shadow Infuse
Foreshadow,Move,0.08354,Foreshadow + Move
Exchange,Shadow Infuse,0.02728,Exchange + Shadow Infuse
Reform,Shadow Infuse,0.0262,Reform + Shadow Infuse
Exchange,Foreshadow,0.02584,Exchange + Foreshadow
Foreshadow,Reform,0.02476,Foreshadow + Reform
Alternate Trust,Shadow Infuse,0.0212,Alternate Trust + Shadow Infuse
Alternate Trust,Foreshadow,0.01978,Alternate Trust + Foreshadow
Item Move,Shadow Infuse,0.0046,Item Move + Shadow Infuse
Foreshadow,Item Move,0.00434,Foreshadow + Item Move
Exchange,Move,0.00346,Exchange + Move
Move,Reform,0.00294,Move + Reform
Alternate Trust,Move,0.0025,Alternate Trust + Move
Exchange,Reform,0.00102,Exchange + Reform
Alternate Trust,Reform,0.0007799999999999999,Alternate Trust + Reform
Item Move,Move,0.0007599999999999999,Item Move + Move
Alternate Trust,Exchange,0.0006399999999999999,Alternate Trust + Exchange
Item Move,Reform,0.00024,Item Move + Reform
Exchange,Item Move,0.00012,Exchange + Item Move
Alternate Trust,Item Move,7.999999999999999e-05,Alternate Trust + Item Move
