will_1,will_2,relative_prob,will_combo
Exchange,Foreshadow,0.8382200000000001,Exchange + Foreshadow
Exchange,Reform,0.06344,Exchange + Reform
Alternate Trust,Exchange,0.03284,Alternate Trust + Exchange
Foreshadow,Reform,0.02328,Foreshadow + Reform
Alternate Trust,Foreshadow,0.012819999999999998,Alternate Trust + Foreshadow
Exchange,Item Move,0.0093,Exchange + Item Move
Exchange,Move,0.00628,Exchange + Move
Exchange,Shadow Infuse,0.00462,Exchange + Shadow Infuse
Foreshadow,Item Move,0.00328,Foreshadow + Item Move
Foreshadow,Move,0.0027199999999999998,Foreshadow + Move
Foreshadow,Shadow Infuse,0.0015799999999999998,Foreshadow + Shadow Infuse
Alternate Trust,Reform,0.00078,Alternate Trust + Reform
Item Move,Reform,0.00026,Item Move + Reform
Move,Reform,0.00016,Move + Reform
Alternate Trust,Item Move,0.00015999999999999999,Alternate Trust + Item Move
Alternate Trust,Move,9.999999999999999e-05,Alternate Trust + Move
Reform,Shadow Infuse,8e-05,Reform + Shadow Infuse
Item Move,Shadow Infuse,3.9999999999999996e-05,Item Move + Shadow Infuse
Move,Shadow Infuse,2e-05,Move + Shadow Infuse
Alternate Trust,Shadow Infuse,1.9999999999999998e-05,Alternate Trust + Shadow Infuse
