will_1,will_2,relative_prob,will_combo
Foreshadow,Shadow Infuse,0.51836,Foreshadow + Shadow Infuse
Exchange,Foreshadow,0.13144,Exchange + Foreshadow
Exchange,Shadow Infuse,0.11024,Exchange + Shadow Infuse
Foreshadow,Item Move,0.04662,Foreshadow + Item Move
Foreshadow,Move,0.0435,Foreshadow + Move
Item Move,Shadow Infuse,0.03882,Item Move + Shadow Infuse
Move,Shadow Infuse,0.03604,Move + Shadow Infuse
Alternate Trust,Foreshadow,0.02398,Alternate Trust + Foreshadow
Alternate Trust,Shadow Infuse,0.02008,Alternate Trust + Shadow Infuse
Exchange,Item Move,0.010159999999999999,Exchange + Item Move
Exchange,Move,0.00904,Exchange + Move
Alternate Trust,Exchange,0.005220000000000001,Alternate Trust + Exchange
Item Move,Move,0.00324,Item Move + Move
Alternate Trust,Item Move,0.0018599999999999999,Alternate Trust + Item Move
Alternate Trust,Move,0.0014,Alternate Trust + Move
