will_1,will_2,relative_prob,will_combo
Alternate Trust,Shadow Infuse,0.44903999999999994,Alternate Trust + Shadow Infuse
Alternate Trust,Exchange,0.15023999999999998,Alternate Trust + Exchange
Exchange,Shadow Infuse,0.13812,Exchange + Shadow Infuse
Alternate Trust,Move,0.05186,Alternate Trust + Move
Move,Shadow Infuse,0.04876,Move + Shadow Infuse
Alternate Trust,Shadow Revoke,0.04138,Alternate Trust + Shadow Revoke
Shadow Infuse,Shadow Revoke,0.0383,Shadow Infuse + Shadow Revoke
Alternate Trust,Foreshadow,0.01962,Alternate Trust + Foreshadow
Foreshadow,Shadow Infuse,0.017259999999999998,Foreshadow + Shadow Infuse
Exchange,Move,0.01596,Exchange + Move
Exchange,Shadow Revoke,0.01286,Exchange + Shadow Revoke
Exchange,Foreshadow,0.00646,Exchange + Foreshadow
Move,Shadow Revoke,0.0044,Move + Shadow Revoke
Foreshadow,Move,0.00192,Foreshadow + Move
Foreshadow,Shadow Revoke,0.0016599999999999998,Foreshadow + Shadow Revoke
Alternate Trust,Reform,0.00086,Alternate Trust + Reform
Reform,Shadow Infuse,0.00078,Reform + Shadow Infuse
Exchange,Reform,0.00037999999999999997,Exchange + Reform
Move,Reform,8e-05,Move + Reform
Reform,Shadow Revoke,4e-05,Reform + Shadow Revoke
Foreshadow,Reform,1.9999999999999998e-05,Foreshadow + Reform
