will_1,will_2,relative_prob,will_combo
Move,Reform,0.18716000000000002,Move + Reform
Move,Shadow Revoke,0.14378,Move + Shadow Revoke
Exchange,Move,0.13664,Exchange + Move
Reform,Shadow Revoke,0.12146000000000001,Reform + Shadow Revoke
Exchange,Reform,0.11134,Exchange + Reform
Exchange,Shadow Revoke,0.08598,Exchange + Shadow Revoke
Foreshadow,Move,0.03818,Foreshadow + Move
Foreshadow,Reform,0.03116,Foreshadow + Reform
Foreshadow,Shadow Revoke,0.024820000000000002,Foreshadow + Shadow Revoke
Exchange,Foreshadow,0.0223,Exchange + Foreshadow
Move,Shadow Infuse,0.01814,Move + Shadow Infuse
Reform,Shadow Infuse,0.0152,Reform + Shadow Infuse
Shadow Infuse,Shadow Revoke,0.0122,Shadow Infuse + Shadow Revoke
Exchange,Shadow Infuse,0.010600000000000002,Exchange + Shadow Infuse
Alternate Trust,Move,0.0071200000000000005,Alternate Trust + Move
Alternate Trust,Reform,0.00644,Alternate Trust + Reform
Alternate Trust,Exchange,0.00478,Alternate Trust + Exchange
Alternate Trust,Shadow Revoke,0.0044199999999999995,Alternate Trust + Shadow Revoke
Item Move,Move,0.00394,Item Move + Move
Item Move,Reform,0.00352,Item Move + Reform
Item Move,Shadow Revoke,0.0028199999999999996,Item Move + Shadow Revoke
Foreshadow,Shadow Infuse,0.0027,Foreshadow + Shadow Infuse
Exchange,Item Move,0.0022800000000000003,Exchange + Item Move
Alternate Trust,Foreshadow,0.0012799999999999999,Alternate Trust + Foreshadow
Foreshadow,Item Move,0.0006399999999999999,Foreshadow + Item Move
Alternate Trust,Shadow Infuse,0.00062,Alternate Trust + Shadow Infuse
Item Move,Shadow Infuse,0.00033999999999999997,Item Move + Shadow Infuse
Alternate Trust,Item Move,0.00014,Alternate Trust + Item Move
