will_1,will_2,relative_prob,will_combo
Exchange,Shadow Infuse,0.7164,Exchange + Shadow Infuse
Exchange,Shadow Revoke,0.123,Exchange + Shadow Revoke
Shadow Infuse,Shadow Revoke,0.0967,Shadow Infuse + Shadow Revoke
Exchange,Move,0.01274,Exchange + Move
Exchange,Magnify,0.01134,Exchange + Magnify
Move,Shadow Infuse,0.00954,Move + Shadow Infuse
Magnify,Shadow Infuse,0.008360000000000001,Magnify + Shadow Infuse
Exchange,Swap,0.0037599999999999995,Exchange + Swap
Shadow Infuse,Swap,0.0033599999999999997,Shadow Infuse + Swap
Exchange,Take Item,0.00294,Exchange + Take Item
Exchange,Reform,0.0028799999999999997,Exchange + Reform
Reform,Shadow Infuse,0.00242,Reform + Shadow Infuse
Shadow Infuse,Take Item,0.0024000000000000002,Shadow Infuse + Take Item
Move,Shadow Revoke,0.0014999999999999998,Move + Shadow Revoke
Magnify,Shadow Revoke,0.0013800000000000002,Magnify + Shadow Revoke
Shadow Revoke,Swap,0.00034,Shadow Revoke + Swap
Reform,Shadow Revoke,0.00031999999999999997,Reform + Shadow Revoke
Shadow Revoke,Take Item,0.00030000000000000003,Shadow Revoke + Take Item
Magnify,Move,0.00010000000000000002,Magnify + Move
Magnify,Swap,4e-05,Magnify + Swap
Move,Take Item,3.9999999999999996e-05,Move + Take Item
Move,Swap,3.9999999999999996e-05,Move + Swap
Move,Reform,3.9999999999999996e-05,Move + Reform
Swap,Take Item,2e-05,Swap + Take Item
Magnify,Reform,2e-05,Magnify + Reform
Reform,Swap,1.9999999999999998e-05,Reform + Swap
